age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,recent_contact,financial_risk,economic_index,demographic
43,4,0,4,0,0,0,0,0,4,265.0,2,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0.0,0.0,1086.6562000000001,51.0
32,3,2,0,0,0,0,1,8,3,644.5,4,999,0,0,-1.8,93.075,-47.1,1.41,5099.1,0.0,0.0,1066.7805,37.0
42,10,0,0,0,1,1,1,5,2,20.0,4,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0.0,2.0,1086.996,52.0
45,1,0,3,0,1,0,0,0,1,207.0,6,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0.0,1.0,1086.6538,49.0
33,10,0,3,1,0,0,0,0,1,82.0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0.0,1.0,1086.6541,46.0
48,10,0,6,0,0,0,1,8,3,27.0,1,999,2,1,-1.8,93.075,-47.1,1.365,5099.1,0.0,0.0,1066.7670000000003,64.0
64,5,2,0,0,1,1,0,9,4,211.0,2,6,2,2,-1.1,94.199,-37.5,0.878,4963.6,0.0,2.0,1040.0829,71.0
51,1,0,1,0,1,0,1,3,4,179.0,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0.0,1.0,1093.8309000000002,53.0
39,2,0,4,0,0,1,1,3,4,323.0,3,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0.0,1.0,1093.8312,45.0
57,5,0,1,0,1,0,1,8,3,407.0,2,999,0,0,-1.8,93.749,-34.6,0.644,5008.7,0.0,1.0,1048.8077,63.0
39,4,0,1,0,0,0,1,2,2,188.0,3,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0.0,0.0,1094.0679,44.0
37,2,0,6,0,1,0,1,3,3,54.0,5,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0.0,1.0,1093.8306000000002,45.0
30,2,1,6,0,1,0,1,3,4,83.0,1,999,2,1,-2.9,92.201,-31.4,0.881,5076.2,0.0,1.0,1061.6048,39.0
29,4,1,6,0,1,0,1,1,2,101.0,1,999,0,0,-2.9,92.963,-40.8,1.26,5076.2,0.0,1.0,1062.0995,40.0
57,2,1,1,0,1,0,0,0,0,26.0,5,12,1,2,-1.8,92.893,-46.2,1.244,5099.1,0.0,1.0,1066.6397000000002,61.0
47,3,0,0,1,1,0,1,0,0,115.0,1,999,1,1,-1.8,92.893,-46.2,1.299,5099.1,0.0,2.0,1066.6562000000001,50.0
41,7,0,3,0,1,0,1,8,0,272.0,1,999,0,0,-1.8,93.075,-47.1,1.466,5099.1,0.0,1.0,1066.7973000000002,51.0
72,5,0,4,0,0,0,1,7,4,87.0,1,3,1,2,-1.8,93.369,-34.8,0.653,5008.7,0.0,0.0,1048.6204,75.0
21,11,1,1,1,0,0,1,0,4,644.5,3,999,0,0,-1.8,92.893,-46.2,1.25,5099.1,0.0,1.0,1066.6415000000002,34.0
38,0,0,1,1,0,0,0,0,3,384.0,4,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0.0,1.0,1086.655,39.0
35,2,1,6,0,1,1,1,5,4,529.0,1,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,0.0,2.0,1086.9663,44.0
33,4,1,4,0,0,0,1,5,1,125.0,2,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,0.0,0.0,1087.0059,42.0
36,3,1,1,1,0,0,0,0,0,90.0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0.0,1.0,1086.6541,41.0
35,10,0,1,0,0,0,1,9,1,91.0,2,999,0,0,-3.4,92.379,-29.8,0.819,5017.5,0.0,0.0,1049.9352,46.0
28,1,0,1,0,1,1,0,1,1,12.0,1,999,0,0,-1.7,94.055,-39.8,0.702,4991.6,0.0,2.0,1045.5581000000002,30.0
35,1,0,1,0,0,0,0,0,1,159.0,2,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0.0,0.0,1086.6538,37.0
33,6,0,6,0,0,0,0,0,3,178.0,2,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0.0,0.0,1086.6535000000001,45.0
36,6,0,6,0,0,0,0,1,0,221.0,7,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0.0,0.0,1094.3120000000001,48.0
43,2,0,1,0,0,0,1,2,0,507.0,1,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0.0,0.0,1094.067,46.0
35,4,0,4,0,0,0,1,2,3,207.0,3,999,0,0,1.4,93.918,-42.7,4.968,5228.1,0.0,0.0,1094.0694,43.0
39,1,2,1,0,1,0,1,5,2,222.0,3,999,1,1,-0.1,93.2,-42.0,4.12,5195.8,0.0,1.0,1086.996,43.0
35,2,2,1,0,1,0,1,0,3,406.0,2,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0.0,1.0,1066.6463,40.0
48,3,0,2,1,1,0,1,0,2,282.0,4,999,0,0,-1.8,92.893,-46.2,1.334,5099.1,0.0,2.0,1066.6667000000002,53.0
45,3,0,0,0,0,0,1,8,3,257.0,2,999,1,1,-1.8,93.075,-47.1,1.41,5099.1,0.0,0.0,1066.7805,48.0
38,4,0,4,0,0,0,0,0,2,127.0,2,999,0,0,1.1,93.994,-36.4,4.858,5191.0,0.0,0.0,1086.6544000000001,46.0
46,6,1,6,0,1,1,1,5,3,292.0,2,999,0,0,-0.1,93.2,-42.0,4.076,5195.8,0.0,2.0,1086.9828,59.0
80,5,2,0,0,0,1,1,6,4,644.5,5,999,1,1,-3.0,92.713,-33.0,0.718,5023.5,0.0,1.0,1051.2719,75.0
65,5,0,6,0,0,0,1,8,2,124.0,2,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0.0,0.0,1066.7790000000002,75.0
26,4,1,6,0,0,0,1,0,4,199.0,1,999,1,1,-1.8,92.893,-46.2,1.259,5099.1,0.0,0.0,1066.6442000000002,37.0
29,11,1,1,1,0,1,1,0,1,139.0,1,999,1,1,-1.8,92.893,-46.2,1.344,5099.1,0.0,2.0,1066.6697000000001,42.0
61,5,0,3,0,1,0,0,3,4,176.0,2,999,0,0,-2.9,92.201,-31.4,0.869,5076.2,0.0,1.0,1061.6012,69.0
34,2,0,2,0,1,1,1,5,2,102.0,2,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0.0,2.0,1086.996,38.0
34,6,0,6,0,0,1,0,0,1,234.0,5,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0.0,1.0,1086.6538,46.0
40,3,0,0,0,0,0,1,5,1,181.0,1,999,1,1,-0.1,93.2,-42.0,4.153,5195.8,0.0,0.0,1087.0059,43.0
38,3,0,2,0,0,0,0,1,0,144.0,2,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0.0,0.0,1094.3120000000001,43.0
53,2,1,6,0,0,1,1,8,3,586.0,2,999,0,0,-1.8,93.075,-47.1,1.365,5099.1,0.0,1.0,1066.7670000000003,62.0
45,2,0,6,0,0,0,1,2,2,194.0,1,13,1,2,-2.9,92.469,-33.6,1.029,5076.2,0.0,0.0,1061.7832,53.0
51,2,0,6,0,1,0,1,5,1,275.0,2,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,0.0,1.0,1087.0059,59.0
32,2,0,1,0,1,1,1,0,2,231.0,2,999,0,0,-1.8,92.893,-46.2,1.334,5099.1,0.0,2.0,1066.6667000000002,35.0
41,3,0,0,1,0,0,0,0,4,488.0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0.0,1.0,1086.6541,44.0
35,2,2,1,0,1,0,1,8,3,285.0,1,999,0,0,-1.8,93.075,-47.1,1.365,5099.1,0.0,1.0,1066.7670000000003,40.0
56,3,0,0,0,0,0,0,1,4,11.0,5,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0.0,0.0,1094.3402,59.0
22,1,1,1,0,0,0,1,0,4,51.0,4,999,0,0,-1.8,92.893,-46.2,1.25,5099.1,0.0,0.0,1066.6415000000002,25.0
35,10,0,6,0,1,0,1,0,2,57.0,5,999,0,0,-1.8,92.893,-46.2,1.281,5099.1,0.0,1.0,1066.6508000000001,51.0
25,6,1,6,0,0,0,1,2,1,125.0,3,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0.0,0.0,1094.0673000000002,38.0
56,3,2,0,0,0,0,1,5,3,150.0,1,999,1,1,-3.4,92.649,-30.1,0.714,5017.5,0.0,0.0,1050.0387,61.0
54,2,2,1,0,1,0,1,3,3,131.0,2,4,1,2,-2.9,92.201,-31.4,0.883,5076.2,0.0,1.0,1061.6054,59.0
39,2,0,2,1,1,1,0,0,1,88.0,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0.0,2.5,1086.6538,43.0
29,3,1,1,0,0,0,0,1,0,203.0,2,999,0,0,1.4,94.465,-41.8,4.96,5228.1,0.0,0.0,1094.3405,34.0
30,4,1,4,0,0,0,1,3,2,105.0,4,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0.0,0.0,1093.8312,39.0
54,2,0,1,0,1,0,1,0,3,594.0,1,999,0,0,-1.8,92.893,-46.2,1.327,5099.1,0.0,1.0,1066.6646,57.0
31,2,0,6,0,1,0,1,9,4,232.0,2,13,1,2,-1.1,94.199,-37.5,0.879,4963.6,0.0,1.0,1040.0832,39.0
35,7,1,2,1,1,0,1,5,1,51.0,1,999,1,1,-0.1,93.2,-42.0,4.153,5195.8,0.0,2.0,1087.0059,45.0
37,3,0,4,0,0,0,1,8,3,188.0,1,999,0,0,-1.8,93.075,-47.1,1.435,5099.1,0.0,0.0,1066.7880000000002,44.0
37,2,0,1,0,0,1,1,2,4,354.0,1,999,0,0,1.4,93.918,-42.7,4.957,5228.1,0.0,1.0,1094.0661,40.0
41,10,0,6,0,1,1,0,2,1,381.0,4,999,0,0,1.4,93.918,-42.7,4.955,5228.1,0.0,2.0,1094.0655000000002,57.0
46,3,2,3,0,1,0,0,8,1,266.0,3,999,0,0,-1.8,93.075,-47.1,1.423,5099.1,0.0,1.0,1066.7844000000002,54.0
49,2,1,3,0,1,1,1,5,2,259.0,2,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0.0,2.0,1086.996,55.0
30,4,1,6,1,1,0,0,0,3,644.5,3,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0.0,2.0,1086.655,41.0
35,11,0,6,0,1,0,0,0,2,629.0,2,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0.0,1.0,1086.6547,52.0
28,1,0,1,0,0,0,1,2,1,96.0,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0.0,0.0,1094.0676,30.0
38,6,1,6,0,1,1,1,5,3,186.0,1,999,0,0,-0.1,93.2,-42.0,4.076,5195.8,0.0,2.0,1086.9828,51.0
31,3,0,3,1,1,1,1,0,2,87.0,3,999,1,1,-1.8,92.893,-46.2,1.281,5099.1,0.0,2.5,1066.6508000000001,37.0
35,3,0,3,0,1,0,0,1,1,79.0,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0.0,1.0,1094.3408000000002,41.0
44,2,2,1,0,1,1,1,2,3,75.0,11,999,0,0,1.4,93.918,-42.7,4.968,5228.1,0.0,2.0,1094.0694,49.0
32,4,1,4,1,2,2,1,3,4,73.0,4,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0.0,2.5,1093.8312,41.0
85,0,0,0,1,1,0,1,8,1,167.0,1,6,2,2,-1.8,93.749,-34.6,0.642,5008.7,0.0,2.0,1048.8071,75.0
44,1,2,1,1,0,0,0,0,2,220.0,1,999,0,0,1.1,93.994,-36.4,4.858,5191.0,0.0,1.0,1086.6544000000001,48.0
28,4,1,1,0,0,0,0,0,4,184.0,2,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0.0,0.0,1086.6562000000001,34.0
27,2,1,5,0,1,0,1,7,0,247.0,3,6,2,2,-1.8,93.369,-34.8,0.639,5008.7,0.0,1.0,1048.6162,35.0
45,3,0,3,0,0,1,1,8,4,175.0,3,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0.0,1.0,1066.7790000000002,51.0
31,2,1,6,0,0,1,1,1,1,210.0,1,999,0,0,-2.9,92.963,-40.8,1.262,5076.2,0.0,1.0,1062.1001,40.0
43,4,1,6,0,1,0,1,2,3,534.0,1,999,0,0,1.4,93.918,-42.7,4.958,5228.1,0.0,1.0,1094.0664000000002,54.0
46,4,2,4,0,0,0,1,0,0,78.0,1,999,0,0,-1.8,92.893,-46.2,1.244,5099.1,0.0,0.0,1066.6397000000002,56.0
40,1,0,5,1,1,0,0,1,0,99.0,26,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0.0,2.0,1094.3408000000002,46.0
48,1,0,0,0,0,0,1,0,1,644.5,4,999,0,0,-1.8,92.893,-46.2,1.344,5099.1,0.0,0.0,1066.6697000000001,49.0
44,4,0,6,0,1,0,1,3,1,231.0,1,999,0,0,1.4,93.444,-36.1,4.968,5228.1,0.0,1.0,1093.8324000000002,54.0
55,2,0,1,0,1,0,1,3,4,629.0,2,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0.0,1.0,1093.8312,58.0
33,4,0,6,0,1,0,1,3,0,551.0,2,999,0,0,-2.9,92.201,-31.4,0.861,5076.2,0.0,1.0,1061.5988,43.0
29,2,1,1,0,1,0,1,5,3,23.0,2,999,1,1,-0.1,93.2,-42.0,4.076,5195.8,0.0,1.0,1086.9828,33.0
29,4,0,4,0,1,0,1,2,2,332.0,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0.0,1.0,1094.0676,37.0
33,3,0,1,0,1,0,0,0,2,186.0,1,999,0,0,-1.8,92.893,-46.2,1.334,5099.1,0.0,1.0,1066.6667000000002,37.0
19,11,1,3,0,0,1,0,2,0,567.0,1,6,2,2,-1.7,94.215,-40.3,0.827,4991.6,0.0,1.0,1045.6756000000003,34.0
34,2,0,6,0,0,0,1,3,0,644.5,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0.0,0.0,1093.8315000000002,42.0
52,1,0,5,1,0,0,0,0,1,77.0,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0.0,1.0,1086.6538,58.0
41,3,0,0,1,1,0,1,0,1,259.0,1,999,0,0,-1.8,92.893,-46.2,1.344,5099.1,0.0,2.0,1066.6697000000001,44.0
45,8,0,3,0,0,0,1,3,2,80.0,1,999,0,0,1.4,93.444,-36.1,4.967,5228.1,0.0,0.0,1093.8321,56.0
49,1,0,1,0,0,0,1,3,0,212.0,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0.0,0.0,1093.8315000000002,51.0
39,10,0,3,0,0,0,0,0,1,157.0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0.0,0.0,1086.6541,52.0
39,4,0,4,1,1,0,1,3,2,132.0,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0.0,2.0,1093.8312,47.0
39,4,0,4,0,0,0,1,0,3,20.0,8,999,0,0,-1.8,92.893,-46.2,1.327,5099.1,0.0,0.0,1066.6646,47.0
51,3,0,0,1,0,0,1,3,4,102.0,2,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0.0,1.0,1093.8318000000002,54.0
34,2,1,6,0,0,0,1,0,0,283.0,1,999,0,0,-1.8,92.893,-46.2,1.244,5099.1,0.0,0.0,1066.6397000000002,43.0
53,5,0,1,0,0,0,1,8,2,349.0,1,999,0,0,-1.8,93.075,-47.1,1.415,5099.1,0.0,0.0,1066.7820000000002,59.0
23,2,1,4,0,0,0,1,2,2,141.0,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0.0,0.0,1094.0679,30.0
74,5,2,1,0,1,1,0,6,0,88.0,6,999,0,0,-3.0,92.713,-33.0,0.715,5023.5,0.0,2.0,1051.271,75.0
33,3,0,3,1,0,1,0,0,3,113.0,3,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0.0,2.0,1066.6463,39.0
30,3,0,0,0,1,0,0,2,3,553.0,6,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0.0,1.0,1094.0676,33.0
28,2,1,6,0,0,0,1,2,3,644.5,2,999,0,0,1.4,93.918,-42.7,4.968,5228.1,0.0,0.0,1094.0694,37.0
28,2,2,6,0,1,0,1,0,3,644.5,1,999,0,0,-1.8,92.893,-46.2,1.327,5099.1,0.0,1.0,1066.6646,38.0
22,1,1,1,0,1,1,1,1,0,181.0,1,999,0,0,-2.9,92.963,-40.8,1.26,5076.2,0.0,2.0,1062.0995,25.0
39,3,0,3,1,1,0,0,1,1,34.0,2,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0.0,2.0,1094.3408000000002,45.0
54,2,0,3,0,1,1,1,5,0,167.0,2,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,0.0,2.0,1087.0173,59.0
54,6,1,3,0,1,0,0,0,0,224.0,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0.0,1.0,1086.6541,64.0
39,4,1,4,0,0,0,1,2,0,644.5,3,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0.0,0.0,1094.067,48.0
41,2,1,1,1,1,0,0,1,2,90.0,4,999,0,0,1.4,94.465,-41.8,4.962,5228.1,0.0,2.0,1094.3411,45.0
38,6,0,6,0,1,0,1,5,3,82.0,1,999,0,0,-0.1,93.2,-42.0,4.076,5195.8,0.0,1.0,1086.9828,50.0
49,3,0,4,1,0,0,0,0,0,144.0,6,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0.0,1.0,1086.6541,56.0
45,6,2,6,0,0,0,0,0,0,19.0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0.0,0.0,1086.6541,59.0
28,4,1,6,0,0,0,1,7,0,392.0,4,999,0,0,-1.8,92.843,-50.0,1.629,5099.1,0.0,0.0,1066.7302000000002,39.0
31,1,1,4,0,1,0,0,1,4,202.0,2,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0.0,1.0,1094.3402,37.0
53,10,0,3,1,1,0,1,3,1,644.5,5,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0.0,2.0,1093.8318000000002,66.0
43,6,0,4,0,0,0,1,5,1,42.0,1,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,0.0,0.0,1087.0059,53.0
55,4,0,3,0,1,0,0,1,1,183.0,2,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0.0,1.0,1094.3408000000002,62.0
44,2,2,6,0,0,0,0,1,4,39.0,2,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0.0,0.0,1094.3402,54.0
39,3,0,2,0,1,0,0,0,2,279.0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0.0,1.0,1086.6541,44.0
41,1,0,1,0,1,0,1,0,4,97.0,1,999,1,1,-1.8,92.893,-46.2,1.313,5099.1,0.0,1.0,1066.6604000000002,43.0
33,3,0,3,0,0,0,1,0,4,428.0,1,999,0,0,-1.8,92.893,-46.2,1.313,5099.1,0.0,0.0,1066.6604000000002,39.0
44,2,0,6,0,1,0,1,2,1,228.0,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0.0,1.0,1094.0676,52.0
39,6,0,6,0,0,1,1,8,4,177.0,3,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0.0,1.0,1066.7790000000002,51.0
30,4,0,4,0,0,1,1,3,2,100.0,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0.0,1.0,1093.8315000000002,38.0
45,4,2,4,0,1,1,1,5,1,124.0,1,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,0.0,2.0,1087.0059,55.0
40,2,1,4,0,1,0,1,0,1,43.0,1,999,1,1,-1.8,92.893,-46.2,1.344,5099.1,0.0,1.0,1066.6697000000001,47.0
43,2,0,6,0,0,0,1,8,3,522.0,4,999,0,0,-1.8,93.075,-47.1,1.406,5099.1,0.0,0.0,1066.7793000000001,51.0
50,3,0,0,0,0,0,1,3,0,123.0,2,15,1,2,-2.9,92.201,-31.4,0.861,5076.2,0.0,0.0,1061.5988,53.0
26,2,1,0,0,1,1,0,1,1,68.0,6,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0.0,2.0,1094.3408000000002,29.0
59,2,0,5,1,1,0,1,2,4,150.0,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0.0,2.0,1094.0676,66.0
33,2,2,6,0,0,0,1,0,2,644.5,1,999,0,0,-1.8,92.893,-46.2,1.281,5099.1,0.0,0.0,1066.6508000000001,43.0
28,4,1,6,0,1,0,1,0,1,326.0,1,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0.0,1.0,1066.6463,39.0
42,0,0,1,0,1,0,1,0,3,95.0,3,999,0,0,-1.8,92.893,-46.2,1.27,5099.1,0.0,1.0,1066.6475000000003,43.0
30,4,1,4,0,0,0,1,3,1,405.0,3,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0.0,0.0,1093.8309000000002,39.0
34,4,0,3,0,0,0,1,5,1,106.0,1,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,0.0,0.0,1087.0059,41.0
53,0,0,0,0,0,1,1,1,1,263.0,2,999,0,0,-2.9,92.963,-40.8,1.252,5076.2,0.0,1.0,1062.0971,53.0
39,2,0,1,0,0,0,1,0,1,264.0,2,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0.0,0.0,1066.6463,42.0
35,1,0,3,1,1,0,0,0,1,181.0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0.0,2.0,1086.6541,39.0
52,10,0,5,0,1,0,1,5,2,149.0,1,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0.0,1.0,1086.996,67.0
31,1,1,6,0,0,0,1,0,0,262.0,2,999,0,0,-1.8,92.893,-46.2,1.264,5099.1,0.0,0.0,1066.6457000000003,39.0
41,3,0,0,0,1,0,1,2,0,107.0,2,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0.0,1.0,1094.067,44.0
44,2,2,1,0,1,0,1,3,0,99.0,2,999,0,0,1.4,93.444,-36.1,4.97,5228.1,0.0,1.0,1093.833,49.0
43,2,0,6,0,1,0,1,1,1,91.0,1,999,0,0,-2.9,92.963,-40.8,1.262,5076.2,0.0,1.0,1062.1001,51.0
50,9,0,0,1,1,0,1,2,0,511.0,3,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0.0,2.0,1094.067,59.0
26,3,1,2,1,1,0,1,2,1,126.0,3,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0.0,2.0,1094.0673000000002,32.0
57,6,0,6,0,1,0,1,3,3,107.0,4,999,0,0,-2.9,92.201,-31.4,0.883,5076.2,0.0,1.0,1061.6054,69.0
32,4,0,1,1,0,0,1,3,4,40.0,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0.0,1.0,1093.8312,37.0
41,4,1,1,0,1,0,1,0,0,263.0,3,999,0,0,-1.8,92.893,-46.2,1.244,5099.1,0.0,1.0,1066.6397000000002,47.0
45,2,0,2,0,1,0,0,0,1,114.0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0.0,1.0,1086.6541,49.0
51,3,0,0,1,0,0,0,0,3,644.5,1,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0.0,1.0,1086.6535000000001,54.0
23,7,1,3,0,1,0,1,4,3,238.0,1,4,1,2,-3.4,92.431,-26.949999999999992,0.754,5017.5,0.0,1.0,1049.9417,34.0
30,1,1,3,0,1,0,1,2,2,22.0,3,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0.0,1.0,1094.0679,35.0
70,5,0,0,0,1,0,1,3,1,356.0,3,6,1,2,-1.7,94.027,-38.3,0.904,4991.6,0.0,1.0,1045.6047,75.0
38,3,0,3,0,1,0,0,1,1,350.0,3,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0.0,1.0,1094.3117000000002,44.0
39,2,0,1,1,0,0,0,1,3,120.0,1,999,0,0,1.4,94.465,-41.8,4.958,5228.1,0.0,1.0,1094.3399000000002,42.0
38,2,0,6,0,1,1,1,2,1,452.0,3,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0.0,2.0,1094.0676,46.0
52,8,0,6,0,0,0,1,5,2,134.0,1,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0.0,0.0,1086.996,66.0
30,3,0,3,0,1,0,1,2,2,532.0,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0.0,1.0,1094.0676,36.0
40,8,0,6,0,1,0,1,3,3,155.0,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0.0,1.0,1093.8312,54.0
29,4,1,4,0,1,0,1,4,0,633.0,2,999,0,0,-3.4,92.431,-26.949999999999992,0.731,5017.5,0.0,1.0,1049.9348,38.0
